Chinese (Simpl.),Pinyin,English
证明,zhèngmíng,proof; certificate; identification; testimonial
之,zhī,(possessive particle literary equivalent of 的); him; her; it
支持,zhīchí,to be in favor of; to support; to back; support
知识,zhīshi,knowledge; intellectual
直接,zhíjiē,direct (opposite: indirect 间接); immediate; straightforward
值得,zhíde,to be worth; to deserve
职业,zhíyè,occupation; profession; vocation; professional
植物,zhíwù,plant; vegetation
只好,zhǐhǎo,to have no other option but to ...; to have to; to be forced to
只要,zhǐyào,if only; so long as
指,zhǐ,finger; to point at or to; to indicate or refer to; to depend on
至少,zhìshǎo,at least; (to say the) least
制造,zhìzào,to manufacture; to make
质量,zhìliàng,quality; (physics) mass
中文,Zhōngwén,Chinese language
重点,chóngdiǎn,to recount (e.g. results of election); to re-evaluate; important point; main point
重视,zhòngshì,to attach importance to sth; to value
重新,chóngxīn,again; once more; re-
周围,zhōuwéi,environs; surroundings; periphery
猪,zhū,hog; pig; swine
逐渐,zhújiàn,gradually
主动,zhǔdòng,to take the initiative; to do sth of one's own accord; spontaneous; active
主意,zhǔyi,plan; idea; decision; Beijing pr. [zhú yi]
祝贺,zhùhè,to congratulate; congratulations
专门,zhuānmén,specialist; specialized; customized
专业,zhuānyè,specialty; specialized field; main field of study (at university); major
赚,zhuàn,to earn; to make a profit; to cheat; to swindle
撞,zhuàng,to knock against; to bump into; to run into; to meet by accident
准确,zhǔnquè,accurate; exact; precise
准时,zhǔnshí,on time; punctual; on schedule
仔细,zǐxì,careful; attentive; cautious; to be careful
自然,zìrán,nature; natural; naturally
总结,zǒngjié,to sum up; to conclude; summary; résumé
租,zū,to hire; to rent; to charter; to rent out
组成,zǔchéng,to form; to make up; to constitute
组织,zǔzhī,to organize; organization; (biology) tissue; (textiles) weave
嘴,zuǐ,mouth; beak; nozzle; spout (of teapot etc)
最好,zuìhǎo,best; (you) had better (do what we suggest)
最后,zuìhòu,final; last; finally; ultimate
尊重,zūnzhòng,to esteem; to respect; to honor; to value
作者,zuòzhě,author; writer
座,zuò,seat; (measure word for mountains/buildings/bridges)
座位,zuòwèi,seat
做生意,zuòshēngyì,to do business
